'Stepper motor NEMA17 x 40mm',  2
'Beaded chain (diameter=3mm, spacing=4mm)',  1
'Beaded chain (diameter=3mm, spacing=4mm)',  1
'Microswitch SS-01 or SS-5GL',  2
'Nut M3 x 2.4mm ', 16
'Nut M3nS 5.5 x 1.8mm ',  2
'Nut M5 x 4mm ',  6
'RapRapDiscount Smart Controller',  1
'Window pen',  1
'Screw M3 dome x 10mm',  6
'Screw M3 dome x 12mm',  4
'Screw M3 dome x 20mm',  6
'Screw M3 dome x  8mm',  4
'Screw M3 pan x  8mm',  8
'Screw M5 hex x 20mm',  6
'SG90 servo motor',  1
'Washer star M3 x 0.5mm',  6
'Washer  M3 x 7mm x 0.5mm', 26
